epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,116.147,0.74105,0.41935,0.92376,0.99321,0.9978,0.99437,0.82028,0.69915,0.33119,0.8992,4.258e-05,4.258e-05,4.258e-05
60,118.013,0.73571,0.41399,0.91965,0.99213,0.9978,0.99444,0.81975,0.70065,0.329,0.9001,4.159e-05,4.159e-05,4.159e-05
61,119.853,0.76266,0.4185,0.92872,0.99588,0.99589,0.99448,0.817,0.70421,0.32874,0.90131,4.06e-05,4.06e-05,4.06e-05
62,121.744,0.76428,0.4124,0.91639,0.9934,0.99352,0.99449,0.82071,0.6973,0.32785,0.89876,3.961e-05,3.961e-05,3.961e-05
63,123.628,0.75438,0.40949,0.93148,0.993,0.99532,0.99442,0.82389,0.69212,0.32631,0.89708,3.862e-05,3.862e-05,3.862e-05
64,125.559,0.77295,0.42409,0.94812,0.99208,0.99686,0.99459,0.82722,0.68427,0.32351,0.89359,3.763e-05,3.763e-05,3.763e-05
65,127.461,0.76881,0.41311,0.92414,0.99068,0.99536,0.99464,0.82579,0.68195,0.32381,0.89242,3.664e-05,3.664e-05,3.664e-05
66,129.383,0.74714,0.40811,0.92544,0.99055,0.99524,0.99471,0.82661,0.68362,0.32464,0.89289,3.565e-05,3.565e-05,3.565e-05
67,131.239,0.76677,0.42018,0.92428,0.99364,0.9929,0.99476,0.8262,0.68366,0.32381,0.89298,3.466e-05,3.466e-05,3.466e-05
68,133.064,0.73304,0.41082,0.91723,0.99179,0.99923,0.99483,0.82918,0.68049,0.3257,0.89238,3.367e-05,3.367e-05,3.367e-05
69,134.973,0.73733,0.40799,0.91094,0.99279,0.9993,0.9948,0.82899,0.67971,0.32498,0.89229,3.268e-05,3.268e-05,3.268e-05
70,136.819,0.74539,0.40873,0.92017,0.99325,0.99959,0.99478,0.83179,0.67368,0.32179,0.89034,3.169e-05,3.169e-05,3.169e-05
71,138.792,0.73646,0.40476,0.92524,0.99301,0.99947,0.99476,0.83371,0.67011,0.32026,0.88938,3.07e-05,3.07e-05,3.07e-05
72,140.78,0.74945,0.41775,0.92762,0.9927,0.99835,0.99478,0.83463,0.66507,0.31913,0.88748,2.971e-05,2.971e-05,2.971e-05
73,142.703,0.75804,0.41269,0.92002,0.99442,0.99922,0.9948,0.83341,0.66247,0.31909,0.88667,2.872e-05,2.872e-05,2.872e-05
74,144.589,0.71617,0.38359,0.9227,0.99436,0.99904,0.99483,0.83251,0.66172,0.31891,0.88622,2.773e-05,2.773e-05,2.773e-05
75,146.478,0.733,0.39954,0.91522,0.99456,0.99707,0.99488,0.83665,0.6602,0.3179,0.88556,2.674e-05,2.674e-05,2.674e-05
76,148.467,0.7308,0.39502,0.91506,0.99453,0.99768,0.99493,0.8368,0.65729,0.31397,0.88461,2.575e-05,2.575e-05,2.575e-05
77,150.399,0.73471,0.40159,0.91849,0.99301,0.99845,0.99492,0.83375,0.65467,0.31523,0.8838,2.476e-05,2.476e-05,2.476e-05
78,152.387,0.70958,0.38194,0.9059,0.99361,0.99888,0.99492,0.83514,0.65247,0.31529,0.88332,2.377e-05,2.377e-05,2.377e-05
79,154.275,0.72822,0.39583,0.9108,0.99407,0.99909,0.99493,0.83626,0.64904,0.31477,0.88249,2.278e-05,2.278e-05,2.278e-05
80,156.16,0.70764,0.39858,0.90585,0.99663,0.99667,0.99495,0.83675,0.64736,0.31369,0.88178,2.179e-05,2.179e-05,2.179e-05
81,158.017,0.70047,0.37898,0.91164,0.99592,0.99747,0.99495,0.84025,0.64208,0.31211,0.87999,2.08e-05,2.08e-05,2.08e-05
82,160.002,0.73409,0.41239,0.91353,0.99547,0.99874,0.99495,0.84132,0.63869,0.31124,0.87883,1.981e-05,1.981e-05,1.981e-05
